tamanho;metodo;tempo_segundos;tempo_milisegundos
500;MergeSort;0;0
500;QuickSort;0;0
500;BinaryInsertionSort;0;0
500;CombSort;0;0
500;ShellSort;0;0
5000;MergeSort;0;0
5000;QuickSort;0;0
5000;BinaryInsertionSort;0,012;12
5000;CombSort;0;0
5000;ShellSort;0,003;3
10000;MergeSort;0,001;1
10000;QuickSort;0,001;1
10000;BinaryInsertionSort;0,023;23
10000;CombSort;0;0
10000;ShellSort;0,003;3
50000;MergeSort;0,005;5
50000;QuickSort;0,001;1
50000;BinaryInsertionSort;0,678;678
50000;CombSort;0,008;8
50000;ShellSort;0,009;9
150000;MergeSort;0,019;19
150000;QuickSort;0,016;16
150000;BinaryInsertionSort;5,081;5081
150000;CombSort;0,016;16
150000;ShellSort;0,021;21
500000;MergeSort;0,056;56
500000;QuickSort;0,073;73
500000;BinaryInsertionSort;60,86;60860
500000;CombSort;0,071;71
500000;ShellSort;0,112;112
